,company_name,job_title,involvement,workplace_type,industry,employee_count,followers_count,link,posted_date,country,state,city,level,applicants,skills,job_class
0,Genpact,AM-INS016838,Full-time,On-site,Information Technology & Services,10001,2433444,https://www.linkedin.com/jobs/view/3427456493/?eBP=CwEAAAGF0usrTV2MR6kVL1XzvQAtZWQjMJdWxeo2ZGDyEvbi1grTSBnz9i9Qa9b-TAgD_CNSHFfxDmFBJ8rUEFVFe-hSpNk9yT_CS-ZpaeOlzoiYdVknI73HqwxBSmxhJaF1il7dKlQUIylLICLNHYNcqSEh9zSCc-WwQi0vmskLM7cuAOCtvGaeLAst7VQLXgCP0IcLdFni1-0YwxjU3w18slejri3V51nQBfkV8KM9X3TYySELf9iGB-QgHWSfVJ1lNxFSpZgrm2t-da5OE0YVbliPd84ZQhIRRiEUCR28B4TSQPx6Fndf80M8M79KsvoF27iykNRd-GTBVBgmipMNEQLQGFsCGF9R&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=7%2F9uUgoApkHR609O%2F7frqw%3D%3D&trackingId=k%2F%2F34847IN%2BbgU3zzap79A%3D%3D&trk=flagship3_search_srp_jobs,2 weeks ago,India,Haryana,Gurugram,Associate,40.0,"support, accounting, workflow, twitter, schedule, react, tracking system, business",Class 4
1,Acolyte Technologies,Business Development Executive,Full-time,On-site,Computer Software,125,828,https://www.linkedin.com/jobs/view/3443706169/?eBP=CwEAAAGF0usrTd2lIJl93rLePnEhD7Gbj3UhgazzsMayc8TjfNeIrr3hUjoovznvdrKBjoGCJ66dbPjBe2nzGTO2tXqkjM2KCHkZnz9GXbFJBvMoX4FI8hsS-cyBo_qsnNyuYaTXN70AixbPjxqEhJ1z-9l52jtcaQut6i-akBMNhmwleR5xOLYBsIYhRMITu7L-etTVMVbx69IUyADdeQ7K0ON6Bmohl6VM_n_PK48AoJcOGUIkQcs94TzsWk1RMZz0khgWXYvsBl44cv_tbrGhJp11hW3bG9i7noQfvvOwvILCNORT9jM8NuU8oJj9OGTWWr1HGHarU5XqHuQa0uxaucZASYJox3FNlmJ2kmdELWta16jJJ6KZ3yh38quKqnCPY06PUT0OehsXfR5Dyf0AyuEi&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=7%2F9uUgoApkHR609O%2F7frqw%3D%3D&trackingId=sqEiLIxgzP0MiPCkYjZVPg%3D%3D&trk=flagship3_search_srp_jobs,58 minutes ago,India,Rajasthan,Jaipur,Full-time,9.0,"collaboration, marketing, business",Class 1
3,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Class 4
4,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Class 4
5,Montdor Interior Pvt Ltd,Sales Executive,Full-time,On-site,Architecture & Planning,30,1260,https://www.linkedin.com/jobs/view/3445717821/?eBP=CwEAAAGF0usrTWfCvE6Vsjiycf8DK7glOZL5T8hWiL-S6mPffC_ZIF5oUbziOlfR0KKbu_ZEZLs1YmqTENKi2JJRJF0tIgQ8-8rSszulSRkc6U8RGYJep6_-5l5zciolY3HEm2EMA_dgJJXL2UmpyrNE6m-E8sOIU4mUNYdXOL1zHO54tYLUYwB59-yXBNFhKnOerbukSY2ao5epvolhiZJUShWUkmQq76fgYQMbeczhfzwCUXPiNusEKQ500WWmqiCkXCKdbIEMFaj47gRTQSlmCsSiBhZFAMEWNr6leSldsguGnyFLEUkExZWPcyqtGOOOiTrJ8GFio6PGw3fZ7fRFbOfPUMjqU1kAJ0TmK2-7QgsFezhH0Hq5IjZnC4BhvybjYVPMan1sljPWhAMfzTuYPy4Q&refId=7%2F9uUgoApkHR609O%2F7frqw%3D%3D&trackingId=oHGJDS7jsbnVA42wzIjA5g%3D%3D&trk=flagship3_search_srp_jobs,1 hour ago,India,Gujarat,Rajkot,Full-time,4.0,business,Class 1
6,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Not-found,Class 4
7,BYJU'S,Business Development Associate,Full-time,On-site,E-learning,10001,1735583,https://www.linkedin.com/jobs/view/3444056736/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=7%2F9uUgoApkHR609O%2F7frqw%3D%3D&trackingId=f19n7UXqooukGeWdFQHgOA%3D%3D&trk=flagship3_search_srp_jobs,58 minutes ago,India,Uttar Pradesh,Noida,Full-time,5.0,business,Class 1
8,Appen,Search Engine Evaluation,Part-time,Remote,Information Technology & Services,750,894571,https://www.linkedin.com/jobs/view/3426211140/?eBP=CwEAAAGF0usrTXFTGh2HPoBEWjenuUoDgmsniMiiIkAyUTIKIHPNkTwnECtkmQoAQHbZmOoLSv0SaUeYTdwnuKx6JtYgDsE_-_BzWoP_Ns1pVDq3qzppr49-wsc36wsEUZ16miMqXbNoZioBKBU28QpVViAnZ07puNjhQxD8mbO8BiM8XfRFqMOU7DvIe9piEMt1gOnBh2WY5a5svu2MmWHyxJdVS7DTx7F_3OMeY5Is-fa3iyfEaRoJeSCCHH75TnwRnXF2T_U-K6GarcLjUxJRlYT7ZkhRusQ3Yt5aQybvF9_i8RTB_AUMpFUivpAoPJx7worvc-0rZHrTpL-qkU9j_54E9TgP5g&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=7%2F9uUgoApkHR609O%2F7frqw%3D%3D&trackingId=C5FdZZVk284T8cLnWFrLHA%3D%3D&trk=flagship3_search_srp_jobs,1 week ago,India,Uttar Pradesh,Varanasi,Part-time,48.0,"specification, artificial intelligence, search engine, ai",Class 1
9,Mastercard,Lead Database Engineer - Cassandra,Full-time,Hybrid,Information Technology & Services,10001,1174213,https://www.linkedin.com/jobs/view/3429063705/?eBP=CwEAAAGF0usrTeNkn_TRPBlaXK3eo5H_stIThHuTomTgkLjQw47ngcOTj_1uTdgzpgXXqg3q4-hrIbx6MeNdL9TJ157woY5BTDbGaDP9ZcsodRqSo-TpcXCvaP7bxHr7Pwxy5c1tDuD6Y9NhQFhXMEtkmVSw0gxYV6gXQJZzlMIFPslPa4SYNxnnp3mL-tTDcMGszBGkCxqQg0SAs0WEUh2pXZkoTNj4_efli10mZVzf-f-4roQMlNyc82IfkP3mqjbOt2Je84hGWn-GdUIO7fPQoss5O96PP1PrdOqFxZLooY8H7Y8C8oyxV8SvfoIorcyRqUcGYnZ-YdABnKlAwqJ5vhdHf7DZqleD1Jn_aJlQEle-CHdueztZhAgnZZfYpXp8bG0&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=7%2F9uUgoApkHR609O%2F7frqw%3D%3D&trackingId=47CItWxdtsRl4zx3orO2qA%3D%3D&trk=flagship3_search_srp_jobs,1 week ago,India,Maharashtra,Pune,Mid-Senior level,20.0,"chef, scripting language, security, operating system, nosql, mongodb, design, continuous integration, ansible, software, business, support, debugging, bash, database, cassandra, linux, redis, rotation, computer science",Class 1
10,Accenture in India,Finance Process Enablement Associate-Procure to Pay Processing,Full-time,On-site,Information Technology & Services,10001,1551657,https://www.linkedin.com/jobs/view/3423452156/?eBP=CwEAAAGF0usrTQWyfUnUqVU3th5K32dZ9HU_pv02vLWWx39VKt2N3dJqZyffBHU2hMm8TP7RFyLYsnUfzpjedV5LRXyuEKdHNAG1-iASzHGBho4OnAu_5kLYef_lwXgK8SirxdoWhkB8noW1K8PFa_SjpCNOt8NzOmk_Dt6G9gDDclSLNHGJb850OJb5FwmF6HQAtreEwwXN4GjMEtnmuG771TztydeSjcEy7T_6jyjFPkt5lnwad8csWmNTKKFmK6zgvcvdg2Kc-6XFXN_d3i7LfzFlcr20NZAvJXH9iEy70zCanmzaP7lhlimeIfBjgJ9j1csy9HiDd4rcbY0dpN1m0RzUYk2IH3bu4zf4p3AIkDP3pFG8Fgohd_FWC6TOV9n79ck&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=7%2F9uUgoApkHR609O%2F7frqw%3D%3D&trackingId=uhDj4pDCcNthYyMZtplE2Q%3D%3D&trk=flagship3_search_srp_jobs,2 weeks ago,India,Haryana,Gurgaon,Entry level,115.0,"finance, accounting, swift, interaction, security",Class 1
